candidate_id,family,feature_recipe,model_type,threshold_method,calibration_method,split_name,fold_id,evaluation_level,n_predictions,n_features,threshold,roc_auc,pr_auc,balanced_accuracy,macro_f1,brier_score,sensitivity,specificity,ece
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,2,official_trial_level_fold_mean,404,128,0.39,0.8170428557223824,0.814938686604378,0.7448294720095456,0.7482251505008127,0.18147776926633805,0.6179775280898876,0.8716814159292036,0.10356640216175003
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,3,official_trial_level_fold_mean,234,128,0.36000000000000004,0.5208614864864864,0.32934904566779266,0.5020270270270271,0.44441738706928036,0.2298296496196278,0.05405405405405406,0.95,0.10357753665648602
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,0,official_trial_level_fold_mean,913,128,0.29000000000000004,0.8836665836997706,0.8049563886071519,0.8058194363782185,0.773165575207549,0.11153294609820981,0.7696078431372549,0.842031029619182,0.1309078463472877
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,1,official_trial_level_fold_mean,861,128,0.31,0.8277237777455388,0.6531123915546058,0.7744209101020358,0.7569717945657795,0.12453946493042292,0.6830601092896175,0.8657817109144543,0.0972667976629562
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,2,official_trial_level_fold_mean,797,128,0.41000000000000003,0.8394546578508841,0.44477763166379636,0.7592659786056013,0.6393414090782512,0.13290136283137483,0.7870370370370371,0.7314949201741655,0.17898067588220315
candidate_0013_936f0c9788,d3_lite_plus_full_official_extension,d3_lite_all,logistic_elasticnet,inner_balanced_accuracy,sigmoid_cv3,unseen_text,3,official_trial_level_fold_mean,983,128,0.26,0.8654546206668321,0.6825837163635489,0.7720691652188302,0.7613106155978349,0.16023937258939275,0.7058823529411765,0.8382559774964838,0.14482348098566372
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,0,official_trial_level_fold_mean,884,128,0.23,0.7286296889038635,0.49177764757059766,0.6623287286612758,0.5880376151214866,0.15784361785862588,0.7547169811320755,0.5699404761904762,0.039644213950187863
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,1,official_trial_level_fold_mean,906,128,0.43,0.6494504496955478,0.41138663341077525,0.5965099715099715,0.6092689630515178,0.1626992132524733,0.25,0.9430199430199431,0.0973009721439874
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,2,official_trial_level_fold_mean,799,128,0.29000000000000004,0.894556505315156,0.6664335869314959,0.8051795529941642,0.683110977293728,0.09451184734980105,0.8688524590163934,0.741506646971935,0.10514519854856184
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader,3,official_trial_level_fold_mean,965,128,0.24000000000000002,0.5985143345357888,0.30257342740268933,0.6285628678564648,0.5970387289576689,0.18623987369063283,0.5764192139737991,0.6807065217391305,0.08044334197917048
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,0,official_trial_level_fold_mean,321,128,0.34,0.5504629629629629,0.2547134406954421,0.4408179012345679,0.43794859457075264,0.19902026529522124,0.13580246913580246,0.7458333333333333,0.12510619031544856
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,1,official_trial_level_fold_mean,269,128,0.27,0.66446735395189,0.5983896240847358,0.5725773195876289,0.5263881135397432,0.17855832365871424,0.64,0.5051546391752577,0.15272063512402473
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,2,official_trial_level_fold_mean,404,128,0.36000000000000004,0.8123943521925028,0.8043366537423318,0.7337675251068907,0.7366766352273598,0.1856890048759714,0.6179775280898876,0.8495575221238938,0.11172699812362812
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_reader_and_text,3,official_trial_level_fold_mean,234,128,0.37,0.49358108108108106,0.30673418533602576,0.48851351351351346,0.4196428571428571,0.2330732513163133,0.02702702702702703,0.95,0.11387461547536631
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,0,official_trial_level_fold_mean,913,128,0.28,0.8811775768135182,0.8053510728102521,0.8036000719046434,0.7571622419676949,0.11148627004403304,0.7990196078431373,0.8081805359661495,0.13158768101541402
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,1,official_trial_level_fold_mean,861,128,0.27,0.836496768057772,0.6542155491187048,0.7764035978528943,0.718731624452817,0.1259408220736029,0.7814207650273224,0.7713864306784661,0.10187224162284098
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,2,official_trial_level_fold_mean,797,128,0.37,0.8283946137719722,0.42862855621137846,0.735593721442778,0.6011497900595645,0.13233184716360705,0.7962962962962963,0.6748911465892597,0.17597961369523737
candidate_0011_c51e744a96,d3_lite_plus_full_official_extension,d3_lite_all,logistic_l2,inner_balanced_accuracy,sigmoid_cv3,unseen_text,3,official_trial_level_fold_mean,983,128,0.27,0.8805172913047075,0.70868796101161,0.781371514850666,0.7721654896271435,0.15538794413466414,0.7132352941176471,0.849507735583685,0.1474540042917604
