outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type
skip,logistic,speech_202201,0.15898840216233542,0.35475378716268685,1.0,-0.6784220278988244,0.317231747536529,100000,regularized_logistic_regression
skip,logistic,speech_202202,0.33703154260703677,0.5555230635177181,0.5,-0.7676937072360366,1.1230567463455174,100000,regularized_logistic_regression
skip,logistic,speech_202203,0.21723018574439087,0.3600592981000097,0.6666666666666666,-0.3505858137979796,0.8060245381101281,100000,regularized_logistic_regression
skip,logistic,speech_202204,-0.2577039749979706,0.4763917926813929,0.6666666666666666,-0.6802882544009555,0.6417198287765898,100000,regularized_logistic_regression
skip,logistic,speech_202205,-0.5799807116044812,0.40280351883501087,0.16666666666666666,-1.3174502703319202,-0.06078900431914944,100000,regularized_logistic_regression
skip,logistic,speech_202206,-0.8596219652931332,0.44576595916003825,0.3333333333333333,-1.299368366742133,0.027265636658678413,100000,regularized_logistic_regression
skip,logistic,speech_202207,-0.28788008531097986,0.2228784748866339,1.0,-0.35642548279220193,0.35881027791146297,100000,regularized_logistic_regression
skip,logistic,speech_202208,-0.24033409883373527,0.2880017214480011,0.8333333333333334,-0.3959610346974245,0.4453854436735814,100000,regularized_logistic_regression
skip,logistic,speech_202209,0.8447918652552211,0.6176070028660692,0.5,-0.25043285707737273,1.6492387975100926,100000,regularized_logistic_regression
skip,logistic,speech_22811,0.282840018494678,0.19920282521209975,0.0,0.1105997266669009,0.6541659192886013,100000,regularized_logistic_regression
skip,logistic,speech_26670,0.15785259966795637,0.22478296052640587,0.3333333333333333,-0.107971458677459,0.535819507584603,100000,regularized_logistic_regression
skip,logistic,speech_26682,0.32929004962198694,0.20276734996001836,0.0,0.16393947398219416,0.7364756360187028,100000,regularized_logistic_regression
skip,logistic,speech_7797,-0.08618927841694121,0.16035320704949768,0.6666666666666666,-0.16518491574377822,0.30812343673904063,100000,regularized_logistic_regression
skip,logistic,speech_7856,0.059306449226932706,0.16619198594160486,0.5,-0.08599149680436595,0.4070413766368358,100000,regularized_logistic_regression
skip,logistic,speech_7905,0.1441811479230812,0.1986088102314793,0.0,0.05213681761887788,0.646599425641033,100000,regularized_logistic_regression
skip,logistic,speech_7946,0.5750998140656007,0.25708514734963245,0.0,0.2776673829352745,1.0178239774665283,100000,regularized_logistic_regression
log_total_fixation_duration,linear,intercept,5.584690623665043,,,,,62354,ridge_linear_regression
log_total_fixation_duration,linear,reader_group_binary_num,0.3145369546175422,0.05629914505909037,0.0,0.2700028335690563,0.42551268266798464,62354,ridge_linear_regression
log_total_fixation_duration,linear,word_length_chars_z,0.16830763004095392,0.012433263777483812,0.0,0.15352600524171,0.18635360425139247,62354,ridge_linear_regression
