outcome,outcome_kind,term,estimate,std_error,p_value,ci_low,ci_high,n_obs,model_type,model_family
log_first_pass_duration,linear,speech_17526,0.10174139132583317,0.05282192993915858,0.0,0.01841157576569327,0.16749538980591078,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_18473,0.1043394298807693,0.06577180600815978,0.16666666666666666,-0.015763176048505294,0.20876090745547649,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_18561,0.05790333848528155,0.057189665093916306,0.5,-0.06727740910741252,0.11981055697449307,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_18670,0.059687318631857784,0.04354780089194172,0.3333333333333333,-0.05329043823318423,0.07436078457281714,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202150,0.4792596619244768,0.2277769838942637,0.6666666666666666,0.0,0.5893064703514916,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202151,0.417153477286871,0.19035778324038286,0.6666666666666666,0.0,0.44763460998161564,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202152,0.36849655048026153,0.20202922874027446,0.6666666666666666,0.0,0.4930550316007826,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202201,-0.05372570470965982,0.0893310921614152,0.3333333333333333,-0.2586948566546331,0.002436703410123645,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202202,-0.13281160606244247,0.14746860752643837,0.5,-0.2872710893782228,0.13729089476391115,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202203,-0.16527116794622193,0.21496614725859547,0.3333333333333333,-0.5905103828226763,0.0,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202204,0.07929158097405593,0.05062208683693354,0.6666666666666666,-0.02395697214838144,0.13280571176170355,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202205,0.09379889944228428,0.08521549305894299,1.0,-0.16638496026764837,0.13317293388796678,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202206,0.12189575264640205,0.09235171573766607,0.6666666666666666,-0.002666572445636977,0.25828222737421014,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202207,0.07439305296584134,0.1037630146403353,0.6666666666666666,-0.12892446612025743,0.20041575877356013,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202208,0.01743587014392655,0.10620328467275092,1.0,-0.17228060834267078,0.17312317138124347,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_202209,-0.0892922255852422,0.11256848317143815,1.0,-0.27747074821596796,0.06752728080574298,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_22811,0.08632218749783088,0.06193973347676447,0.3333333333333333,-0.03703511522968814,0.1580578765182614,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_26670,0.04138069329037015,0.06270531062343247,0.8333333333333334,-0.10706926614186238,0.09693042961934432,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_26682,0.038089767729276816,0.04237175846310886,0.8333333333333334,-0.07293318804469917,0.0588995495366856,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_7797,0.058471250477483,0.06808458509367975,0.3333333333333333,-0.06211353704801619,0.1330177722658139,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_7856,0.0341927424636559,0.027432474070192326,0.3333333333333333,-0.012538363817414033,0.06540540561719622,62306,ridge_linear_regression,opacity_controlled
log_first_pass_duration,linear,speech_7905,0.07397128802962646,0.05929970251240391,0.3333333333333333,-0.06472769158310504,0.1279276644180261,62306,ridge_linear_regression,opacity_controlled
