evaluation_level,split_regime,feature_group,prefix_type,prefix_value,threshold_source,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,source_name
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,trial_or_text_prefix,1,fixed_0_5,57.0,57.0,0.0,0.8684210526315789,0.8002103566776451,0.7763157894736842,0.768918918918919,0.16234795203448057,0.7368421052631579,0.8157894736842105,0.18421052631578946,0.2631578947368421,0.1481408022789951,0.05338998578696296,0.3658317286939841,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,trial_or_text_prefix,2,fixed_0_5,55.0,55.0,0.0,0.8228228228228228,0.7597893711575108,0.6981981981981982,0.6857142857142857,0.19454249336241852,0.6666666666666666,0.7297297297297297,0.2702702702702703,0.3333333333333333,0.1858553397770085,0.04524202153906814,0.37388366987551014,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,trial_or_text_prefix,3,fixed_0_5,43.0,43.0,0.0,0.8545454545454545,0.7373268398268398,0.7787878787878788,0.7243589743589745,0.1671530023340149,0.8,0.7575757575757576,0.24242424242424243,0.2,0.1714427575026339,0.07262258194831715,0.3021041510804044,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,trial_or_text_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9044321329639889,0.8925663517768783,0.8289473684210527,0.8115079365079365,0.12191770072645394,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.12763004675722056,0.05585410994384409,0.3862411364000264,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,100,fixed_0_5,57.0,57.0,0.0,0.7950138504155124,0.7063895401144649,0.6973684210526316,0.6826072715361939,0.22604719582762528,0.6842105263157895,0.7105263157894737,0.2894736842105263,0.3157894736842105,0.22907083175451376,0.044513666264561734,0.3546190319365922,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,1000,fixed_0_5,57.0,57.0,0.0,0.8587257617728532,0.7982738450874347,0.7105263157894737,0.6984126984126984,0.1832485327427672,0.6842105263157895,0.7368421052631579,0.2631578947368421,0.3157894736842105,0.18472994188235634,0.052072868250588183,0.37591437584693044,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,250,fixed_0_5,57.0,57.0,0.0,0.8933518005540166,0.843472187502003,0.7894736842105263,0.761352657004831,0.16312557574346032,0.8421052631578947,0.7368421052631579,0.2631578947368421,0.15789473684210525,0.17802244780928184,0.05343115650834879,0.37032000826752354,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,50,fixed_0_5,57.0,57.0,0.0,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.24167489395729164,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.21671923660988412,0.027954265160587084,0.3544626794445688,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,500,fixed_0_5,57.0,57.0,0.0,0.8975069252077562,0.8461281620569545,0.8026315789473684,0.7905111927831607,0.14366986517249483,0.7894736842105263,0.8157894736842105,0.18421052631578946,0.21052631578947367,0.15343165004992,0.051689164116470517,0.38287765188773343,
trial_or_prefix_level,participant_grouped_kfold,all_allowed_online,word_count_prefix,all,fixed_0_5,57.0,57.0,0.0,0.9044321329639889,0.8925663517768783,0.8289473684210527,0.8115079365079365,0.12191770072645394,0.8421052631578947,0.8157894736842105,0.18421052631578946,0.15789473684210525,0.12763004675722056,0.05585410994384409,0.3862411364000264,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,100,fixed_0_5,57.0,57.0,0.0,0.47091412742382277,0.3817642525604088,0.5,0.48976982097186705,0.3018192141463643,0.47368421052631576,0.5263157894736842,0.47368421052631576,0.5263157894736842,0.3262256594307021,0.013273264298145035,0.3398882829855993,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,1000,fixed_0_5,57.0,57.0,0.0,0.5270083102493075,0.4478425148955289,0.5526315789473684,0.5476190476190476,0.2807394945323263,0.47368421052631576,0.631578947368421,0.3684210526315789,0.5263157894736842,0.2798051066447595,0.03980863579489401,0.34115690265665377,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,250,fixed_0_5,57.0,57.0,0.0,0.5006925207756232,0.40498245985613773,0.5131578947368421,0.5043478260869565,0.2946114716188788,0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5263157894736842,0.31992015201058077,0.002855081195610023,0.33450395391804966,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,50,fixed_0_5,57.0,57.0,0.0,0.3843490304709141,0.2942259539184759,0.4342105263157895,0.43091787439613527,0.32479218235912893,0.3684210526315789,0.5,0.5,0.631578947368421,0.3549602256373397,-0.03515061379611343,0.31899799014479835,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,500,fixed_0_5,57.0,57.0,0.0,0.4903047091412742,0.36710702937753126,0.5131578947368421,0.5043478260869565,0.29855009956722794,0.47368421052631576,0.5526315789473685,0.4473684210526316,0.5263157894736842,0.2891038413228354,-0.01566983133337426,0.32724387473347644,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,chronological_prefix,all,fixed_0_5,57.0,57.0,0.0,0.6218836565096952,0.4938468591951565,0.6052631578947368,0.6052631578947368,0.2595579526711649,0.47368421052631576,0.7368421052631579,0.2631578947368421,0.5263157894736842,0.20081214252196697,0.04869093208917835,0.3429714479896301,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,speech_prefix,1,fixed_0_5,57.0,57.0,0.0,0.47645429362880887,0.3864045214285038,0.4868421052631579,0.4818181818181818,0.31026196170391035,0.42105263157894735,0.5526315789473685,0.4473684210526316,0.5789473684210527,0.34068882735355754,-0.021308451148471862,0.3268581658616843,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,speech_prefix,2,fixed_0_5,55.0,55.0,0.0,0.5135135135135136,0.39774854116095326,0.5743243243243243,0.5678571428571428,0.2829051553091483,0.5,0.6486486486486487,0.35135135135135137,0.5,0.2943841672830608,-0.020708243267686235,0.3196312559975323,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,speech_prefix,3,fixed_0_5,43.0,43.0,0.0,0.48787878787878786,0.3572360178282217,0.4833333333333333,0.4798387096774194,0.2628687559748379,0.3,0.6666666666666666,0.3333333333333333,0.7,0.26081959959920126,0.0029401519394485318,0.2346342384884807,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,speech_prefix,all,fixed_0_5,57.0,57.0,0.0,0.6218836565096952,0.4938468591951565,0.6052631578947368,0.6052631578947368,0.2595579526711649,0.47368421052631576,0.7368421052631579,0.2631578947368421,0.5263157894736842,0.20081214252196697,0.04869093208917835,0.3429714479896301,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,trial_or_text_prefix,1,fixed_0_5,57.0,57.0,0.0,0.47645429362880887,0.3864045214285038,0.4868421052631579,0.4818181818181818,0.31026196170391035,0.42105263157894735,0.5526315789473685,0.4473684210526316,0.5789473684210527,0.34068882735355754,-0.021308451148471862,0.3268581658616843,
trial_or_prefix_level,participant_grouped_kfold,dfm_exposure_prefix,trial_or_text_prefix,2,fixed_0_5,55.0,55.0,0.0,0.5135135135135136,0.39774854116095326,0.5743243243243243,0.5678571428571428,0.2829051553091483,0.5,0.6486486486486487,0.35135135135135137,0.5,0.2943841672830608,-0.020708243267686235,0.3196312559975323,
