oracle_variant,group_key,threshold,clean_result,official_claim_allowed,benchmark_relative_claim_allowed,n_candidate_thresholds,information_bits,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|logit_mean,0.230931,False,False,False,294,8.199672344836364,0.5717018950437318,0.502834033636114,0.6364795918367347,0.6264027004835325,0.3581753011371979,0.7551020408163265,0.5178571428571429,0.48214285714285715,0.24489795918367346,0.3529476285455617,0.01124816659803855,0.4623511617721743
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|mean_probability,0.307455,False,False,False,294,8.199672344836364,0.5733418367346939,0.4956979077802347,0.621811224489796,0.6123076923076923,0.3417095617116965,0.7346938775510204,0.5089285714285714,0.49107142857142855,0.2653061224489796,0.30753595824923785,0.010875848619889359,0.46435948733833743
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|reliability_weighted_probability,0.308872,False,False,False,292,8.189824558880018,0.57807944606414,0.49884327632883946,0.6313775510204083,0.6218803418803418,0.3376122369586939,0.7448979591836735,0.5178571428571429,0.48214285714285715,0.25510204081632654,0.31124253448101313,0.011941094794269457,0.4641933788136983
test_oracle_threshold_by_regime,unseen_reader_and_text|dfm_residual_plus_uncertainty_prefix|uncertainty_weighted_logit,0.11,False,False,False,281,8.134426320220927,0.5860969387755102,0.5553479005234162,0.6536989795918368,0.6377228292121909,0.36066699024233356,0.8163265306122449,0.49107142857142855,0.5089285714285714,0.1836734693877551,0.3589988738965325,0.00915566203929219,0.4595746653835057
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|beta_binomial_posterior,0.666506,False,False,False,302,8.238404739325079,0.7461384439359268,0.6318780379618755,0.6899694889397407,0.6716356661760114,0.2441782085784379,0.6929824561403509,0.6869565217391305,0.3130434782608696,0.30701754385964913,0.2267184613161517,0.15300520235683351,0.2928633179160148
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|entropy_weighted,0.93,False,False,False,299,8.224001674198105,0.7072273073989321,0.5221335296177705,0.6985888634630053,0.685332608794095,0.33544459053224907,0.6754385964912281,0.7217391304347827,0.2782608695652174,0.32456140350877194,0.3491098902575168,0.03303036940788302,0.27756374801419825
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|learned_meta_aggregator,0.293288,False,False,False,302,8.238404739325079,0.6451754385964912,0.42537463425164523,0.6450800915331808,0.5697528986242099,0.2344623358901363,0.868421052631579,0.4217391304347826,0.5782608695652174,0.13157894736842105,0.15014662614705582,0.08912558719439387,0.3727089027074067
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|logit_mean,0.901724,False,False,False,299,8.224001674198105,0.6852402745995423,0.4997221662826151,0.661651411136537,0.6404204973724428,0.3676026761792061,0.6798245614035088,0.6434782608695652,0.3565217391304348,0.3201754385964912,0.36234772458966813,0.02825118564334722,0.2736197217412763
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|mean_probability,0.705353,False,False,False,299,8.224001674198105,0.7082761250953471,0.5197150003053922,0.6911899313501144,0.6668280871670702,0.3021302284685651,0.7236842105263158,0.658695652173913,0.34130434782608693,0.27631578947368424,0.2923174305949805,0.03287894521681368,0.28341828919751916
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|reliability_weighted_probability,0.68,False,False,False,299,8.224001674198105,0.7109744469870327,0.5215105284377672,0.6923150266971777,0.6663089398777584,0.29943830618308376,0.7324561403508771,0.6521739130434783,0.34782608695652173,0.2675438596491228,0.2896829642373669,0.03309184906034003,0.28342646174280695
test_oracle_threshold_by_regime,unseen_text|all_allowed_online|uncertainty_weighted_logit,0.999855,False,False,False,272,8.087462841250339,0.6484363081617086,0.44831369840155694,0.6183066361556064,0.6206129221159478,0.43081479874440726,0.4605263157894737,0.7760869565217391,0.22391304347826088,0.5394736842105263,0.42503625160783126,0.016036848980428016,0.27647810739053935
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|beta_binomial_posterior,0.64,False,False,False,302,8.238404739325079,0.6869565217391305,0.5114332919059963,0.6517734553775745,0.6329529480779661,0.26381766147958474,0.6578947368421053,0.6456521739130435,0.35434782608695653,0.34210526315789475,0.22137836441666622,0.10810819409519049,0.3083035192945614
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|entropy_weighted,0.91,False,False,False,302,8.238404739325079,0.6589721586575134,0.42261168332408344,0.6723493516399695,0.6604084589956074,0.3459221362980791,0.6403508771929824,0.7043478260869566,0.2956521739130435,0.35964912280701755,0.3372844956837135,0.027862661059154265,0.30682922862504425
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|learned_meta_aggregator,0.218784,False,False,False,302,8.238404739325079,0.671834477498093,0.5468441204703604,0.6352212051868802,0.5624990757231014,0.19909296935346787,0.8508771929824561,0.41956521739130437,0.5804347826086956,0.14912280701754385,0.07209195089475873,0.16552970272502476,0.468725342908133
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|logit_mean,0.88767,False,False,False,302,8.238404739325079,0.6493325705568268,0.4248157576285607,0.639607170099161,0.6272159682361961,0.3517162751536985,0.6096491228070176,0.6695652173913044,0.33043478260869563,0.39035087719298245,0.34008553199597635,0.02447691872253664,0.3034356741444347
test_oracle_threshold_by_regime,unseen_text|dfm_residual_plus_uncertainty_prefix|mean_probability,0.842729,False,False,False,302,8.238404739325079,0.6593916857360794,0.4270681789655056,0.653604118993135,0.6481469911023175,0.3209608897789073,0.5789473684210527,0.7282608695652174,0.2717391304347826,0.42105263157894735,0.31712631067031166,0.027864509397716022,0.31004527843642904
