split_regime,fold_id,feature_group,prefix_type,prefix_value,calibrator,calibration_source,calibration_status,n_calibration_rows,n_outer_test_rows,clean_result,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,3,sigmoid,inner_oof_or_calibration,complete,62,12,True,False,0.888888888888889,0.8333333333333333,0.6666666666666666,0.7,0.12968924227092268,0.3333333333333333,1.0,0.0,0.6666666666666666,0.11790520877646768,0.2115869626267563,0.6724127900168918
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,3,isotonic,inner_oof_or_calibration,complete,62,12,True,False,0.9074074074074074,0.7916666666666666,0.8333333333333333,0.8736842105263158,0.09114583333333333,0.6666666666666666,1.0,0.0,0.3333333333333333,0.06249999999999999,0.03389963397098891,0.40006800018120264
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,3,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,62,12,True,False,0.7407407407407407,0.7666666666666666,0.6666666666666666,0.7,0.13275991839669565,0.3333333333333333,1.0,0.0,0.6666666666666666,0.1398757037445722,0.17395490389888946,0.6186043274603331
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,all,identity,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.8,0.784688995215311,0.15628314026719464,0.8,0.8,0.2,0.2,0.20751045814175242,0.05428865450114712,0.4449150765547689
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,all,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.9,0.8711111111111112,0.75,0.7619047619047619,0.12035910324841746,0.6,0.9,0.1,0.4,0.19807258450745954,0.10151161053554278,0.5200924870652872
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,all,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.81,0.7666666666666666,0.75,0.7619047619047619,0.14935752078609224,0.6,0.9,0.1,0.4,0.13968253968253969,0.027829867340584513,0.44787351414814436
participant_grouped_kfold,0,all_allowed_online,trial_or_text_prefix,all,logistic_recalibration_uncertainty,inner_oof_or_calibration,complete,84,15,True,False,0.98,0.9666666666666666,0.8,0.8295454545454546,0.09360432332546699,0.6,1.0,0.0,0.4,0.09507184402229736,0.15286535542947816,0.5364242654486934
participant_grouped_kfold,0,all_allowed_online,word_count_prefix,100,identity,inner_oof_or_calibration,complete,84,15,True,False,0.7,0.6131313131313132,0.6000000000000001,0.6031746031746031,0.27362076393375284,0.4,0.8,0.2,0.6,0.3032955542369022,0.041983247275459275,0.4413395054591994
participant_grouped_kfold,0,all_allowed_online,word_count_prefix,100,sigmoid,inner_oof_or_calibration,complete,84,15,True,False,0.7,0.6131313131313132,0.6,0.5833333333333334,0.2110025663965037,0.2,1.0,0.0,0.8,0.1887824720972199,0.11667918672964978,0.531643979509053
participant_grouped_kfold,0,all_allowed_online,word_count_prefix,100,isotonic,inner_oof_or_calibration,complete,84,15,True,False,0.6100000000000001,0.5083333333333333,0.6000000000000001,0.6031746031746031,0.2448935185185185,0.4,0.8,0.2,0.6,0.21444444444444444,0.009010016150437877,0.39324878861947327
