split_regime,feature_group,accumulator,prefix_type,prefix_value,n_readers,n_probability_rows,probability_variance,improvement_over_simple_mean_AUROC,improvement_over_single_trial_d3_lite_AUROC,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,simple_mean_AUROC,d3_lite_trial_AUROC
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,chronological_prefix,250,57,57,0.06750982428105233,-0.020775623268698085,,0.8130193905817175,0.6585187021542169,0.7236842105263157,0.7236842105263157,0.16811718384321117,0.631578947368421,0.8157894736842105,0.18421052631578946,0.3684210526315789,0.14346835470916536,0.17435871456653104,0.49711454358449353,0.8337950138504155,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,chronological_prefix,50,57,57,0.061347223217142616,-0.0373961218836566,,0.6814404432132963,0.48056169307309926,0.6052631578947368,0.6089939024390244,0.23071278987612595,0.3684210526315789,0.8421052631578947,0.15789473684210525,0.631578947368421,0.18810513193482958,0.09145193067050093,0.46054331390650044,0.7188365650969529,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,chronological_prefix,500,57,57,0.06653397852978157,-0.034626038781163326,,0.8227146814404432,0.6412206320203282,0.763157894736842,0.7732368896925859,0.15090468211945635,0.631578947368421,0.8947368421052632,0.10526315789473684,0.3684210526315789,0.14035772089406495,0.1955413059286933,0.5210358796059111,0.8573407202216066,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,chronological_prefix,all,57,57,0.06826980956313315,0.013850415512465353,,0.9002770083102493,0.8204225383726769,0.7894736842105263,0.8080808080808081,0.12146982517100216,0.631578947368421,0.9473684210526315,0.05263157894736842,0.3684210526315789,0.10686338345572106,0.18187482219582896,0.624792014366213,0.8864265927977839,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,speech_prefix,1,57,57,0.06898784272474714,-0.04155124653739606,,0.8227146814404432,0.6513725544013528,0.7236842105263157,0.7236842105263157,0.15806575778335588,0.631578947368421,0.8157894736842105,0.18421052631578946,0.3684210526315789,0.09237716698603571,0.19214064075777404,0.469379410242435,0.8642659279778393,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,speech_prefix,2,55,55,0.05973961065901075,-0.07057057057057059,,0.7912912912912913,0.6221164749546393,0.7515015015015015,0.7619047619047619,0.16412559430727502,0.6111111111111112,0.8918918918918919,0.10810810810810811,0.3888888888888889,0.12008755282064225,0.18804689883579623,0.5003519754494099,0.8618618618618619,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,speech_prefix,3,43,43,0.04716066810355182,-0.02121212121212135,,0.7727272727272726,0.5676190476190476,0.6893939393939394,0.6959937156323645,0.13886715270569452,0.5,0.8787878787878788,0.12121212121212122,0.5,0.05697999773696889,0.1687223279669787,0.45936956999399103,0.793939393939394,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,speech_prefix,all,57,57,0.0741997576793776,-0.0041551246537395725,,0.8961218836565097,0.8296139379241874,0.8157894736842105,0.8323529411764705,0.11617374155321618,0.6842105263157895,0.9473684210526315,0.05263157894736842,0.3157894736842105,0.08442011561574926,0.1797679473961827,0.6060280394212255,0.9002770083102493,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,trial_or_text_prefix,1,57,57,0.06806163411701047,-0.04293628808864258,,0.8199445983379502,0.6494307980967156,0.7368421052631579,0.73990873990874,0.15766460661200804,0.631578947368421,0.8421052631578947,0.15789473684210525,0.3684210526315789,0.06940503091418807,0.1925205686260687,0.47802734727539103,0.8628808864265928,
text_balanced_unseen_reader,all_allowed_online,learned_meta_aggregator,trial_or_text_prefix,2,55,55,0.05786132732321165,-0.06006006006006004,,0.7942942942942943,0.6242826215652303,0.765015015015015,0.7796474358974359,0.16385641198446282,0.6111111111111112,0.918918918918919,0.08108108108108109,0.3888888888888889,0.14239954501653454,0.19028044118095794,0.5117883776066654,0.8543543543543544,
