analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR-AUC,BA,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes,aggregation_method,aggregation_basis,n_readers,median_trials_per_reader,mean_reader_probability_variance,primary_aggregation_allowed
inverse_entropy_weighted_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.762987012987013,0.5112476845167528,0.6022727272727273,0.5992094861660079,0.45454545454545453,0.75,0.21782116447899916,0.8366589032589289,0.14424766515071588,-0.948256631190812,0.22515783136056672,complete,,inverse_entropy_weighted_probability,probability_uncertainty_weighted,39,27.0,0.023754339722797717,True
inverse_entropy_weighted_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.7942942942942943,0.5979943426792886,0.6854354354354355,0.6590909090909092,0.7222222222222222,0.6486486486486487,0.21329467478607841,0.7456020259304982,0.3958553329610109,-0.9194278939455333,0.1971029451525646,complete,,inverse_entropy_weighted_probability,probability_uncertainty_weighted,55,59.0,0.022860075634474963,True
inverse_entropy_weighted_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8018018018018017,0.7470870368788768,0.7252252252252251,0.7185672514619883,0.6666666666666666,0.7837837837837838,0.19960040618333233,0.580138460872851,2.268634931138681,-0.8886665381489066,0.21114199476412004,complete,,inverse_entropy_weighted_probability,probability_uncertainty_weighted,55,59.0,0.02024173294844443,True
inverse_entropy_weighted_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.7175324675324675,0.5758023744865849,0.6931818181818181,0.6762264150943397,0.6363636363636364,0.75,0.2137427595252749,0.616979778261155,1.3665891848495553,-0.9521588483901166,0.2021338191142489,complete,,inverse_entropy_weighted_probability,probability_uncertainty_weighted,39,27.0,0.0185443134883764,True
inverse_entropy_weighted_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8303303303303303,0.7578937721898449,0.6974474474474475,0.6945575712699,0.6111111111111112,0.7837837837837838,0.19444225283467367,0.5694689396746649,3.0547460659497223,-0.7882527997899393,0.20460786141079604,complete,,inverse_entropy_weighted_probability,probability_uncertainty_weighted,55,59.0,0.019176798471692975,True
majority_vote_hard_label,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.8988919667590027,0.8237054957969084,0.8157894736842105,0.7946282345234196,0.8421052631578947,0.7894736842105263,0.1231652240168322,1.471053248080012,0.2123113427322874,-0.813466133966156,0.13495544416597047,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,57,4.0,0.026923322318120817,False
majority_vote_hard_label,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,34,10,24,0.81875,0.6103619909502263,0.7958333333333334,0.770048309178744,0.8,0.7916666666666666,0.16911764705882354,5.140462420838937,0.11213495748206509,-0.700674626228942,0.16176470588235298,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,34,1.0,0.00762130726217137,False
majority_vote_hard_label,benchmark_bridge_d3_full_data,BenchmarkBridge_D3_FullData,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,57,19,38,0.905124653739612,0.8614991003148897,0.8289473684210527,0.7980676328502415,0.8947368421052632,0.7631578947368421,0.12097224156069183,0.9068421979359644,0.27060401291627345,-0.8667687377940526,0.13593010303536618,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,57,4.0,0.027087846942536978,False
majority_vote_hard_label,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8348348348348348,0.7073553736193189,0.753003003003003,0.7417840375586855,0.7222222222222222,0.7837837837837838,0.18429448066410611,0.6160083468744896,0.3667897466367366,-0.7393991191754089,0.18283445769683132,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,55,59.0,0.020667406044466822,False
majority_vote_hard_label,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.7532467532467532,0.5928520437101673,0.6201298701298701,0.6201298701298701,0.45454545454545453,0.7857142857142857,0.2226047937740065,0.6442077418004867,0.32833610874673397,-0.7287218700100211,0.27182238315584123,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,39,27.0,0.023754339722797717,False
majority_vote_hard_label,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8468468468468467,0.6795230333273811,0.753003003003003,0.7417840375586855,0.7222222222222222,0.7837837837837838,0.16758489069604598,1.0871564710450696,0.2913316191534053,-0.6463787521073108,0.17572549790136766,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,55,59.0,0.022860075634474963,False
majority_vote_hard_label,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8168168168168168,0.7721394041676977,0.737987987987988,0.7445820433436532,0.6111111111111112,0.8648648648648649,0.15280431280216927,0.4714648571501039,1.4934176971370048,-0.12114436276607668,0.10089679058859631,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,55,59.0,0.02024173294844443,False
majority_vote_hard_label,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_reader_and_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,39,11,28,0.6915584415584416,0.5079403761221943,0.6022727272727273,0.5992094861660079,0.45454545454545453,0.75,0.20001487898394119,0.5714809075971568,0.5542402284025101,-0.6186459924005601,0.16688132808726786,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,39,27.0,0.0185443134883764,False
majority_vote_hard_label,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,55,18,37,0.8340840840840841,0.7756051793864411,0.7515015015015015,0.7619047619047619,0.6111111111111112,0.8918918918918919,0.15013656155710206,0.4759470163454539,1.433161326604362,-0.017608717328406947,0.14211796412820218,complete,Hard-label majority vote is a baseline only.,majority_vote_hard_label,hard_label_baseline,55,59.0,0.019176798471692975,False
