analysis_row,source_name,model_name,candidate_id,feature_group,model,evaluation_level,split_regime,fold_id,threshold_policy,threshold_source,official_claim_allowed,score_source,threshold,n_candidate_thresholds,information_bits,n_predictions,n_positive,n_negative,AUROC,PR-AUC,BA,macro_F1,sensitivity,specificity,Brier,log_loss,calibration_slope,calibration_intercept,ECE,status,notes,calibrator,calibration_status
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,1228,408,820,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,isotonic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,1228,408,820,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,temperature_logistic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,3554,767,2787,0.8037456452920501,0.4882081362343988,0.7190751996721602,0.6766554873697731,0.6792698826597132,0.7588805166846071,0.18519423307191368,0.6056069016980021,0.5487686943891612,-1.3141990545612252,0.20316174653822217,complete,identity calibrator; no fitted calibration used.,identity,complete
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,sigmoid_platt,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,isotonic,not_computed_missing_calibration_predictions
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,D3_EyeBench_Lite,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_text,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,temperature_logistic,not_computed_missing_calibration_predictions
legal_calibrated_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,fixed_0_5,True,p_pred,0.5,,,3554,767,2787,0.6717077659406754,0.40913586965734106,0.6273095097418682,0.6007905248939791,0.5280312907431551,0.7265877287405813,0.21991607713351136,0.637824705334294,0.7693790571458392,-1.2774335948138913,0.2493727876809813,complete,identity calibrator; no fitted calibration used.,identity,complete
legal_calibrated_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,sigmoid_platt,not_computed_missing_calibration_predictions
legal_calibrated_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,isotonic,not_computed_missing_calibration_predictions
legal_calibrated_probability,official_alignment_d3_full_feature,D3_FullFeature_EyeBenchFolds,official_alignment_d3_full_feature__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,all,fixed_0_5,calibration_set,True,p_pred,0.5,0.0,,3554,767,2787,,,,,,,,,,,,not_computed_missing_calibration_predictions,No train/inner-validation/calibration prediction rows were available.,temperature_logistic,not_computed_missing_calibration_predictions
