source_name,candidate_id,model_name,feature_group,model,evaluation_level,split_regime,threshold,BA,macro_F1,false_positive,false_negative,true_positive,true_negative,near_threshold_errors,confidently_wrong_errors
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.68,0.8289473684210527,0.8376068376068376,3,5,14,35,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.6900000000000001,0.8289473684210527,0.8376068376068376,3,5,14,35,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.7000000000000001,0.8289473684210527,0.8376068376068376,3,5,14,35,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.71,0.8289473684210527,0.8376068376068376,3,5,14,35,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.72,0.8289473684210527,0.8376068376068376,3,5,14,35,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.73,0.8552631578947368,0.8742647058823529,1,5,14,37,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.74,0.8552631578947368,0.8742647058823529,1,5,14,37,0,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.75,0.8289473684210527,0.850729517396184,1,6,13,37,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.76,0.8289473684210527,0.850729517396184,1,6,13,37,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.77,0.8026315789473684,0.8262195121951219,1,7,12,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.78,0.8026315789473684,0.8262195121951219,1,7,12,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.79,0.8026315789473684,0.8262195121951219,1,7,12,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.8,0.7763157894736843,0.8006218422075398,1,8,11,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.81,0.7763157894736843,0.8006218422075398,1,8,11,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.8200000000000001,0.7763157894736843,0.8006218422075398,1,8,11,37,1,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.8300000000000001,0.75,0.7738095238095237,1,9,10,37,2,3
autoresearch_d3_final_reader_profile,autoresearch_d3_final_reader_profile__D3_dfm_residual_gaze_only__logistic_regression,AutoResearch_D3_FinalReaderProfile,D3_dfm_residual_gaze_only,logistic_regression,reader_aggregated,leave_one_participant_out,0.84,0.75,0.7738095238095237,1,9,10,37,2,3
