analysis_row,source_name,candidate_id,feature_group,model,evaluation_level,split_regime,threshold_source,official_claim_allowed,AUROC,PR-AUC,BA,macro_F1,Brier,calibration_slope,calibration_intercept,threshold,n_candidate_thresholds,information_bits,notes
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,fixed_0_5,True,0.7916666666666666,0.6050739698751378,0.7395833333333333,0.7270471464019852,0.17947177746133097,0.5629228265670446,-0.8515100405393039,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,fixed_0_5,True,0.8284880894506563,0.5547798448721939,0.7443850267379679,0.6935457516339869,0.16759264942083232,0.690965279906972,-1.1637554856539192,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,benchmark_bridge_d3_full_data,benchmark_bridge_d3_full_data__D3_dfm_residual_gaze_only__logistic_regression,D3_dfm_residual_gaze_only,logistic_regression,trial_level,unseen_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,fixed_0_5,True,0.796404333960664,0.49266168073861305,0.7158814742876336,0.6749207106710016,0.19064079895667227,0.5273593980341867,-1.3471230589673289,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,fixed_0_5,True,0.7149420133907222,0.560540148988024,0.6477821616451458,0.6398116772983653,0.21578473754375457,0.5194456542178406,-0.6725320101157652,0.5,,,identity calibrator; no fitted calibration used.
legal_calibrated_probability,d3_eyebench_lite_candidate_0000,candidate_0000,D3_EyeBench_Lite,logistic_regression,trial_level,unseen_reader_and_text,calibration_set,True,,,,,,,,0.5,0.0,,No train/inner-validation/calibration prediction rows were available.
