split_regime,prefix_type,prefix_value,feature_family,source_feature_group,calibrator,threshold,accumulator,n_readers,n_prefix_rows,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept
unseen_reader,chronological_prefix,250,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.814404432132964,0.6789742939357535,0.7368421052631579,0.7199475925319359,0.2401699352023363,0.7368421052631579,0.7368421052631579,0.2631578947368421,0.2631578947368421,0.2680017033908412,0.035039887242824634,0.36017374217544734
unseen_reader,chronological_prefix,50,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.24167487890099187,0.5789473684210527,0.8157894736842105,0.18421052631578946,0.42105263157894735,0.21671921224719026,0.027954265160586873,0.3544626794445696
unseen_reader,chronological_prefix,500,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8393351800554016,0.7046708162588766,0.75,0.7246376811594203,0.22288243625836887,0.7894736842105263,0.7105263157894737,0.2894736842105263,0.21052631578947367,0.24303653971006478,0.03692060773349847,0.3605708423335229
unseen_reader,chronological_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8767313019390582,0.7404964604723667,0.763157894736842,0.740909090909091,0.19931220600859223,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.21016864007608482,0.0390300332639251,0.3760582318572353
unseen_reader,speech_prefix,1,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8573407202216067,0.7113343844323556,0.763157894736842,0.740909090909091,0.21271027201338624,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.21981791253169272,0.03777536385517098,0.3698251835029011
unseen_reader,speech_prefix,2,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,55,55,0.0,0.8528528528528528,0.7116370769148546,0.7537537537537538,0.7303921568627451,0.21825924494767135,0.7777777777777778,0.7297297297297297,0.2702702702702703,0.2222222222222222,0.2352043521989628,0.03648419413424809,0.36222320994825447
unseen_reader,speech_prefix,3,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,43,43,0.0,0.7909090909090909,0.45584249084249084,0.7484848484848485,0.6822660098522167,0.25135896963942445,0.8,0.696969696969697,0.30303030303030304,0.2,0.26521050572597255,0.027724187391995093,0.28892428868894976
unseen_reader,speech_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.886426592797784,0.7681944934335576,0.763157894736842,0.740909090909091,0.19233527331465525,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.2101325656960552,0.039110329567413143,0.37425507758747023
unseen_reader,trial_or_text_prefix,1,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8545706371191136,0.7094615943990017,0.763157894736842,0.740909090909091,0.2091721140584352,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.21670019690136444,0.03775979559251553,0.3700833256375913
unseen_reader,trial_or_text_prefix,2,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,55,55,0.0,0.8558558558558559,0.7145832048609826,0.7537537537537538,0.7303921568627451,0.21759231917571856,0.7777777777777778,0.7297297297297297,0.2702702702702703,0.2222222222222222,0.21516853678138997,0.036556054854365576,0.3618339067352066
unseen_reader,trial_or_text_prefix,3,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,43,43,0.0,0.7848484848484849,0.4503522947640594,0.7484848484848485,0.6822660098522167,0.25138467682252025,0.8,0.696969696969697,0.30303030303030304,0.2,0.26050868443023156,0.027194417839601078,0.2885922357888774
unseen_reader,trial_or_text_prefix,all,all_allowed_strict_online,all_allowed_online,identity,fixed_0_5,uncertainty_weighted_logit,57,57,0.0,0.8808864265927978,0.7448026805680605,0.763157894736842,0.740909090909091,0.19525801725680023,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.21122699082032004,0.038961007178425044,0.3738313997742323
