final_model,split_regime,n_readers,n_prefix_rows,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,evidence_cost,earliness_score,unstable_prefix_rate,AUROC,PR-AUC,BA,macro_F1,Brier,sensitivity,specificity,FPR,FNR,ECE,calibration_slope,calibration_intercept,candidate_id,candidate_group,feature_family,source_feature_group,calibrator,threshold_policy,accumulator,stopping_policy,prefix_type,prefix_value,threshold,calibration_source,clean_result,official_claim_allowed,selection_source,validation_score,validation_no_earliness_score,rescue_candidate
best_online_mid_detection,unseen_reader,57,57,1.0,0.0,500.0,1.0175438596491229,0.2094038855383059,0.7905961144616942,0.0,0.7950138504155125,0.6503677033936174,0.7763157894736843,0.7572879135276778,0.15959711130773793,0.7894736842105263,0.7631578947368421,0.23684210526315788,0.21052631578947367,0.08623827961215905,0.20463078061860726,0.5317682210673945,v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,0.36934041804461165,identity,True,False,inner_oof,0.759114562223872,0.7774810480582808,
best_online_mid_detection,unseen_reader_and_text,17,17,1.0,0.0,500.0,1.0,0.6062602989529653,0.39373970104703476,0.0,0.763888888888889,0.6336670274170274,0.7013888888888888,0.7017543859649122,0.22828846671400374,0.625,0.7777777777777778,0.2222222222222222,0.375,0.24439621093456476,0.1992079776268542,0.657135096490781,v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,0.36934041804461165,identity,True,False,inner_oof,0.759114562223872,0.7774810480582808,
best_online_mid_detection,unseen_text,56,56,1.0,0.0,500.0,1.0,0.6220946701702722,0.37790532982972785,0.0,0.7695590327169275,0.6964604997436067,0.6827880512091038,0.69375,0.17654271524457088,0.47368421052631576,0.8918918918918919,0.10810810810810811,0.5263157894736842,0.09798338925948258,0.2322914985420036,0.5447083739720227,v2_candidate_0019,online_mid_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,word_count_prefix,500,0.36934041804461165,identity,True,False,inner_oof,0.759114562223872,0.7774810480582808,
best_online_early_detection,participant_grouped_kfold,57,57,1.0,0.0,1663.0701754385964,1.0,0.32348911214106735,0.6765108878589327,0.0,0.7770083102493074,0.6488834436976851,0.763157894736842,0.740909090909091,0.1787847304596338,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.12248071542398037,0.165377743332705,0.43876485285974826,v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,0.4322034668990221,identity,True,False,inner_oof,0.7285595778172607,0.7666941117189477,
best_online_early_detection,text_balanced_unseen_reader,57,57,1.0,0.0,1663.0701754385964,1.0,0.32348911214106735,0.6765108878589327,0.0,0.7770083102493074,0.6488834436976851,0.763157894736842,0.740909090909091,0.1787847304596338,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.12248071542398037,0.165377743332705,0.43876485285974826,v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,0.4322034668990221,identity,True,False,inner_oof,0.7285595778172607,0.7666941117189477,
best_online_early_detection,unseen_reader,57,57,1.0,0.0,1663.0701754385964,1.0,0.32348911214106735,0.6765108878589327,0.0,0.7770083102493074,0.6488834436976851,0.763157894736842,0.740909090909091,0.1787847304596338,0.7894736842105263,0.7368421052631579,0.2631578947368421,0.21052631578947367,0.12248071542398037,0.165377743332705,0.43876485285974826,v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,0.4322034668990221,identity,True,False,inner_oof,0.7285595778172607,0.7666941117189477,
best_online_early_detection,unseen_reader_and_text,17,17,1.0,0.0,1659.7058823529412,1.0,0.9234297867830593,0.07657021321694076,0.0,0.8333333333333333,0.7314484126984127,0.8194444444444444,0.8210526315789474,0.20347014662843646,0.75,0.8888888888888888,0.1111111111111111,0.25,0.23348604873343326,0.2250131616652991,0.6688451016871672,v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,0.4322034668990221,identity,True,False,inner_oof,0.7285595778172607,0.7666941117189477,
best_online_early_detection,unseen_text,57,57,1.0,0.0,1663.0701754385964,1.0,0.9390207289325552,0.06097927106744482,0.0,0.6883656509695291,0.6098811226281984,0.6447368421052632,0.6531440162271805,0.1920357941108117,0.3684210526315789,0.9210526315789473,0.07894736842105263,0.631578947368421,0.09860220722706574,0.17884330553135783,0.4865276529397316,v2_candidate_0031,online_early_detection,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_regime_specific,learned_meta_aggregator,fixed_budget,trial_or_text_prefix,1,0.4322034668990221,identity,True,False,inner_oof,0.7285595778172607,0.7666941117189477,
best_online_stopping_detector,participant_grouped_kfold,57,57,0.8771929824561403,0.1228070175438597,214.28,1.04,0.17424593282875236,0.8257540671712478,0.0,0.5176715176715176,0.31067586121493884,0.49584199584199584,0.48764315852923446,0.24649382114701324,0.15384615384615385,0.8378378378378378,0.16216216216216217,0.8461538461538461,0.19333304546646707,0.0043881439684149886,0.2665474448592546,v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,0.5,two_sided:0.25:0.75,True,False,inner_oof,0.6955022666015077,0.7007597905115218,
best_online_stopping_detector,text_balanced_unseen_reader,57,57,0.8771929824561403,0.1228070175438597,214.28,1.04,0.17424593282875236,0.8257540671712478,0.0,0.5176715176715176,0.31067586121493884,0.49584199584199584,0.48764315852923446,0.24649382114701324,0.15384615384615385,0.8378378378378378,0.16216216216216217,0.8461538461538461,0.19333304546646707,0.0043881439684149886,0.2665474448592546,v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,0.5,two_sided:0.25:0.75,True,False,inner_oof,0.6955022666015077,0.7007597905115218,
best_online_stopping_detector,unseen_reader,57,57,0.8771929824561403,0.1228070175438597,214.28,1.04,0.17424593282875236,0.8257540671712478,0.0,0.5176715176715176,0.31067586121493884,0.49584199584199584,0.48764315852923446,0.24649382114701324,0.15384615384615385,0.8378378378378378,0.16216216216216217,0.8461538461538461,0.19333304546646707,0.0043881439684149886,0.2665474448592546,v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,0.5,two_sided:0.25:0.75,True,False,inner_oof,0.6955022666015077,0.7007597905115218,
best_online_stopping_detector,unseen_reader_and_text,17,17,0.6470588235294118,0.3529411764705882,172.72727272727272,1.0,0.49200138914409997,0.5079986108559001,0.0,0.7857142857142857,0.6083333333333333,0.5,0.3888888888888889,0.25906184917438535,0.0,1.0,0.0,1.0,0.25202613296968973,0.2835217614898563,0.9587354603096663,v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,0.5,two_sided:0.25:0.75,True,False,inner_oof,0.6955022666015077,0.7007597905115218,
best_online_stopping_detector,unseen_text,57,57,0.7543859649122807,0.24561403508771928,544.7906976744187,1.0232558139534884,0.5762191990655678,0.42378080093443216,0.0,0.6164772727272727,0.41927220398057363,0.5596590909090909,0.5558685446009389,0.195295729285282,0.18181818181818182,0.9375,0.0625,0.8181818181818182,0.12260343435341083,0.0839165945765076,0.3569326485296592,v2_candidate_0043,online_stopping_detector,dfm_residual_plus_uncertainty_prefix,dfm_residual_plus_uncertainty_prefix,identity,inner_cv_global,learned_meta_aggregator,coverage_constrained_stop,sequence,sequence_stop,0.5,two_sided:0.25:0.75,True,False,inner_oof,0.6955022666015077,0.7007597905115218,
best_unseen_text_specialist,unseen_text,52,52,1.0,0.0,1000.0,1.0,0.7568412859100874,0.24315871408991263,0.0,0.8638655462184874,0.8361078652088079,0.7546218487394958,0.7204301075268817,0.23307472658452716,0.8235294117647058,0.6857142857142857,0.3142857142857143,0.17647058823529413,0.2849766791080774,0.07334708561155268,0.26696204601408347,unseen_text_rescue_04,unseen_text_specialist,all_allowed_strict_online,all_allowed_online,identity,inner_cv_regime_specific,entropy_weighted,fixed_budget,word_count_prefix,1000,0.6233667405483606,identity,True,False,inner_oof,,,regime_specific_threshold
