evidence_id,source_phase,model_name,candidate_id,split_regime,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,evaluation_level,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,n_readers,n_prefix_rows,stable_enough_rate,result_origin,result_scope,preferred_for_future_tables,notes
online_v2_prefix_00035,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,1000,word_count_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8808864265927978,0.8170004128927921,0.763157894736842,0.740909090909091,0.1800540929478413,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00036,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,250,word_count_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8102493074792244,0.73685847600957,0.7236842105263157,0.7038961038961039,0.2236847742590859,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00037,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,50,word_count_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.7188365650969529,0.508264181995358,0.6973684210526316,0.6998946998947,0.2416748789009918,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00038,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,500,word_count_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.8531855955678671,0.7961499055532046,0.75,0.7246376811594203,0.2019547939145951,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00039,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,word_count_prefix,all,word_count_prefix:all,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,entropy_weighted,reader_aggregated,0.894736842105263,0.8562259315230452,0.75,0.7361111111111112,0.1580070200695588,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00040,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,100,chronological_prefix:100,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.7049861495844875,0.5305767913036297,0.7105263157894737,0.7158119658119658,0.1887665007548396,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00041,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,1000,chronological_prefix:1000,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8227146814404432,0.6368876030043327,0.6973684210526316,0.6998946998947,0.1588334997058348,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00042,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,250,chronological_prefix:250,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8130193905817175,0.6585187021542169,0.7236842105263157,0.7236842105263157,0.1681171838432111,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00043,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,50,chronological_prefix:50,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.6814404432132963,0.4805616930730992,0.6052631578947368,0.6089939024390244,0.2307127898761259,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
online_v2_prefix_00044,D3OnlineTargetedOptimization_v2,D3_online_v2_per_prefix,,participant_grouped_kfold,chronological_prefix,500,chronological_prefix:500,all_allowed_strict_online,identity,fixed_0_5,outer_test_applied_threshold_from_row,learned_meta_aggregator,reader_aggregated,0.8227146814404432,0.6412206320203282,0.763157894736842,0.7732368896925859,0.1509046821194563,57.0,57.0,1.0,clean_evaluation,secondary_completed_result,,Strict v2 per-prefix curve row with source-role metadata.
