reconciliation_id,metric_name,model_name,candidate_id,split_regime,evaluation_level,source_phase,source_file,source_value,source_context,same_metric_as_others,conflict_group_id,exact_match_group_id,notes
recon_00026,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.7443850267379679,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00027,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.6935457516339869,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00028,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1675926494208323,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0031_00011_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00029,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8541666666666666,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00030,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.773968253968254,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00031,balanced_accuracy,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.7458333333333333,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012_balanced_accuracy,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00032,macro_F1,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.7312252964426877,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012_macro_F1,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00033,Brier,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,unseen_reader_and_text,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.1501092056831028,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0051_00012_Brier,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00034,AUROC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,text_balanced_unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.909972299168975,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013_AUROC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
recon_00035,PR_AUC,D3_dfm_residual_gaze_only,D3_dfm_residual_gaze_only,text_balanced_unseen_reader,reader_aggregated,BenchmarkBridge_v1,results/benchmark_bridge_v1_20260506_1836/typ/typ_benchmark_metrics.csv,0.8978873314433282,Copied from v1 canonical row BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013,True,,BenchmarkBridge_v1_benchmark_bridge_full_data_0071_00013_PR_AUC,Detailed BenchmarkBridge generated metrics with PR-AUC/Brier where available.
