evidence_id,source_phase,source_file,source_row_identifier,model_family,model_name,candidate_id,algorithm_regime,task,evaluation_level,split_regime,data_scope,prefix_type,prefix_value,evidence_budget,feature_family,calibrator,threshold_policy,threshold_source,accumulator,stopping_policy,clean_or_oracle,result_origin,result_scope,preferred_for_future_tables,preferred_for_future_figures,official_claim_allowed,benchmark_relative_claim_allowed,n_predictions,n_readers,n_trials,n_prefix_rows,coverage,AUROC,PR_AUC,balanced_accuracy,macro_F1,Brier,RMSE,MAE,R2,calibration_intercept,calibration_slope,CI_low,CI_high,p_value,metric_scale,value_source_text,source_trace_status,notes
D3OnlineTargetedOptimization_v1_online_prefix_00049_dup_00399,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,49,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,chronological_prefix,all,chronological_prefix:all,all_allowed_online,,prefix_budget_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.9,0.8711111111111112,0.75,0.7619047619047619,0.1562831402671946,,,,0.4449150765547689,0.0542886545011471,,,,proportion_0_1_for_performance_metrics,Row 49 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00050_dup_00400,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,50,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,chronological_prefix,all,chronological_prefix:all,all_allowed_online,,balanced_accuracy_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.9,0.8711111111111112,0.75,0.7619047619047619,0.1562831402671946,,,,0.4449150765547689,0.0542886545011471,,,,proportion_0_1_for_performance_metrics,Row 50 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00051_dup_00401,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,51,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,chronological_prefix,all,chronological_prefix:all,all_allowed_online,,macro_f1_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.9,0.8711111111111112,0.75,0.7619047619047619,0.1562831402671946,,,,0.4449150765547689,0.0542886545011471,,,,proportion_0_1_for_performance_metrics,Row 51 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00052_dup_00402,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,52,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,chronological_prefix,all,chronological_prefix:all,all_allowed_online,,target_sensitivity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.9,0.8711111111111112,0.75,0.7619047619047619,0.1562831402671946,,,,0.4449150765547689,0.0542886545011471,,,,proportion_0_1_for_performance_metrics,Row 52 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00053_dup_00403,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,53,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,chronological_prefix,all,chronological_prefix:all,all_allowed_online,,target_specificity_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.9,0.8711111111111112,0.8,0.784688995215311,0.1562831402671946,,,,0.4449150765547689,0.0542886545011471,,,,proportion_0_1_for_performance_metrics,Row 53 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00054_dup_00404,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,54,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,fixed_0_5,fixed_0_5,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.6499999999999999,0.6411483253588517,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 54 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00055_dup_00405,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,55,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,global_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.6499999999999999,0.6411483253588517,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 55 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00056_dup_00406,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,56,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,split_regime_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.6499999999999999,0.6411483253588517,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 56 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00057_dup_00407,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,57,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,prefix_type_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.7,0.7,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 57 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
D3OnlineTargetedOptimization_v1_online_prefix_00058_dup_00408,D3OnlineTargetedOptimization_v1,analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,58,D3,online_v1_legal_threshold,,online_prefix,CopCo_TYP,prefix_level,participant_grouped_kfold,,speech_prefix,1,speech_prefix:1,all_allowed_online,,prefix_budget_inner_cv_threshold,inner_oof_or_calibration,,,clean,clean_evaluation,deprecated_or_fast_run,,,False,True,,,,,,0.84,0.7592857142857143,0.85,0.7963800904977376,0.2029629484379671,,,,0.3725473594038589,0.0498833725098809,,,,proportion_0_1_for_performance_metrics,Row 58 in analysis/d3_online_targeted_optimization_v1/legal_threshold_metrics.csv,exact_file_trace,Legal threshold rows from fast/truncated v1 online run.
