evidence_id,source_phase,source_file,baseline_model,split_regime,D3_BA,baseline_BA,D3_AUROC,baseline_AUROC,result_origin,result_scope,official_comparable_average,notes
external_baseline_00017,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader_and_text,0.7013888888888888,0.635,0.763888888888889,0.6890000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00018,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_text,0.6827880512091038,0.775,0.7695590327169275,0.857,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00019,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_text,0.6827880512091038,0.815,0.7695590327169275,0.915,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00020,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_text,0.6827880512091038,0.7659999999999999,0.7695590327169275,0.833,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00021,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader,0.763157894736842,0.777,0.7770083102493074,0.853,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00022,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader,0.763157894736842,0.698,0.7770083102493074,0.8009999999999999,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00023,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader,0.763157894736842,0.755,0.7770083102493074,0.831,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00024,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,AhnCNN,unseen_reader_and_text,0.8194444444444444,0.6559999999999999,0.8333333333333333,0.7490000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00025,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Random Forest,unseen_reader_and_text,0.8194444444444444,0.597,0.8333333333333333,0.659,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
external_baseline_00026,D3OnlineTargetedOptimization_v2,analysis/d3_online_targeted_optimization_v2/copco_typ_comparison_v2.csv,Logistic Regression,unseen_reader_and_text,0.8194444444444444,0.635,0.8333333333333333,0.6890000000000001,external_reference,external_reference_baseline,False,External reference baseline comparison copied from prior v2 output.
