prefix_type,prefix_value,evidence_budget,split_regime,model_name,feature_family,calibrator,threshold_policy,accumulator,AUROC,PR_AUC,balanced_accuracy,Brier,macro_F1,n_readers,n_prefix_rows,notes
chronological_prefix,all,chronological_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.9002770083102493,0.8204225383726769,0.7894736842105263,0.1214698251710021,0.8080808080808081,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,1,speech_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8227146814404432,0.6513725544013528,0.7236842105263157,0.1580657577833558,0.7236842105263157,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,2,speech_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7912912912912913,0.6221164749546393,0.7515015015015015,0.164125594307275,0.7619047619047619,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,3,speech_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7727272727272726,0.5676190476190476,0.6893939393939394,0.1388671527056945,0.6959937156323645,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
speech_prefix,all,speech_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8961218836565097,0.8296139379241874,0.8157894736842105,0.1161737415532161,0.8323529411764705,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,1,trial_or_text_prefix:1,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8199445983379502,0.6494307980967156,0.7368421052631579,0.157664606612008,0.73990873990874,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,2,trial_or_text_prefix:2,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7942942942942943,0.6242826215652303,0.765015015015015,0.1638564119844627,0.7796474358974359,55.0,55.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,3,trial_or_text_prefix:3,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7757575757575756,0.5826190476190476,0.6893939393939394,0.1392094747880234,0.6959937156323645,43.0,43.0,Outer-test per-prefix curve from strict v2 audit.
trial_or_text_prefix,all,trial_or_text_prefix:all,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.8988919667590027,0.827106712425272,0.8157894736842105,0.1186041781618379,0.8323529411764705,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
word_count_prefix,100,word_count_prefix:100,participant_grouped_kfold,D3_online_v2_per_prefix,all_allowed_strict_online,identity,fixed_0_5,learned_meta_aggregator,0.7188365650969528,0.5583921776716476,0.7105263157894737,0.1845069077347188,0.7158119658119658,57.0,57.0,Outer-test per-prefix curve from strict v2 audit.
