source_phase,split_regime,feature_group,feature_family,accumulator,threshold_source,stopping_policy,coverage,undecided_rate,mean_words_to_decision,mean_texts_to_decision,balanced_accuracy,AUROC,PR_AUC,Brier,final_decision
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,reliability_weighted_probability,inner_oof,coverage_constrained_policy,1.0,0.0,273.0,1.0666666666666669,0.65,0.7000000000000001,0.5366666666666666,0.2371015084983879,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.8,0.92,0.8528571428571428,0.1649165755014456,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.7000000000000001,0.5366666666666666,0.2464236948237093,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,two_sided_confidence_policy,1.0,0.0,63.333333333333336,1.0,0.6000000000000001,0.7000000000000001,0.5366666666666666,0.2712607997888118,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8,0.92,0.8528571428571428,0.1649165755014456,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,cost_sensitive_online_policy,1.0,0.0,63.333333333333336,1.0,0.6000000000000001,0.7000000000000001,0.5366666666666666,0.2712607997888118,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8,0.92,0.8528571428571428,0.1649165755014456,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.8,0.92,0.8528571428571428,0.1649165755014456,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,all_allowed_online,,uncertainty_weighted_logit,inner_oof,coverage_constrained_policy,1.0,0.0,63.333333333333336,1.0,0.6000000000000001,0.7000000000000001,0.5366666666666666,0.2712607997888118,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1611654642333693,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.2217008192544173,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,two_sided_confidence_policy,0.8666666666666667,0.1333333333333333,432.7692307692308,1.0769230769230769,0.6944444444444444,0.5833333333333334,0.46875,0.1805750997929438,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,inner_cv_balanced_accuracy_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1611654642333693,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,cost_sensitive_online_policy,0.8666666666666667,0.1333333333333333,432.7692307692308,1.0769230769230769,0.6944444444444444,0.5833333333333334,0.46875,0.1805750997929438,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,target_sensitivity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1611654642333693,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,target_specificity_policy,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.8,0.6976190476190476,0.1611654642333693,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,beta_binomial_posterior,inner_oof,coverage_constrained_policy,1.0,0.0,508.06666666666666,1.0666666666666669,0.65,0.64,0.4991452991452991,0.1969873561601097,useful
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,fixed_0_5,no_stop_all_evidence,1.0,0.0,6360.066666666667,4.133333333333334,0.75,0.82,0.7166666666666666,0.1694182359847264,diagnostic
D3OnlineTargetedOptimization_v1,participant_grouped_kfold,dfm_residual_plus_uncertainty_prefix,,entropy_weighted,fixed_0_5,fixed_0_5_at_each_prefix,1.0,0.0,50.0,1.0,0.65,0.6000000000000001,0.4741452991452991,0.268781707846781,useful
