candidate_id,residual_alpha,predictor_set,outcome_set,aggregation_set,transform,classifier,classifier_params,seed,selection_metric,selection_score,complete_folds,evaluated_folds,mean_threshold,status,skip_reason,unseen_reader_inner_balanced_accuracy,unseen_text_inner_balanced_accuracy,unseen_reader_and_text_inner_balanced_accuracy
d3opt_0041_6ecadbe8b2,0.1,surface,all_gaze,central_spread,raw,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7532775366423058,12,12,0.34,complete,,0.7301699725318885,0.8035224487647119,0.7261401886303167
d3opt_0042_e758812d52,0.1,surface_surprisal_syntax,duration_core,robust_full,log1p_duration,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7620349730148929,12,12,0.5000000000000001,complete,,0.7822939299024898,0.7661282520621169,0.737682737080072
d3opt_0043_d9b707329a,1.0,surface_surprisal_syntax,all_gaze,central_spread,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7656049341398341,12,12,0.54,complete,,0.8136468066635568,0.748641961497543,0.7345260342584026
d3opt_0044_efe78d1272,10.0,surface_surprisal_syntax,all_gaze,robust_full,raw,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7568284006631881,12,12,0.5116666666666666,complete,,0.7615268391619033,0.7792122607433529,0.7297461020843081
d3opt_0045_4aa380f3b4,10.0,surface_surprisal_syntax,duration_plus_count,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.754928925593124,12,12,0.5075000000000001,complete,,0.7511058650503244,0.7736047431929421,0.7400761685361052
d3opt_0046_f9179e50ce,10.0,surface,duration_plus_count,central_spread,raw,logistic_regression,"{'C': 1.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7654638814322655,12,12,0.5625,complete,,0.8154668730173052,0.7461697992236269,0.7347549720558644
d3opt_0047_0d323c92a7,0.1,surface,all_gaze,robust_full,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7538870529221485,12,12,0.4658333333333334,complete,,0.7487383285839535,0.7805395292965263,0.7323833008859659
d3opt_0048_fb5f9ca843,10.0,surface_surprisal_syntax,all_gaze,central_spread,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7660772634055161,12,12,0.54,complete,,0.8136468066635568,0.748641961497543,0.7359430220554481
d3opt_0049_82e78bf1f7,0.1,surface_surprisal,duration_core,central_spread,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7466067832883699,12,12,0.5216666666666666,complete,,0.7885875913444198,0.7427478990977866,0.7084848594229032
d3opt_0050_da2ee20fe6,10.0,surface,duration_core,central_spread,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7434547767941403,12,12,0.2916666666666667,complete,,0.7345359659324673,0.7708862646204635,0.7249420998294902
d3opt_0051_aa68f8cc4d,10.0,surface_surprisal,duration_plus_count,robust_full,log1p_duration,gradient_boosting,"{'n_estimators': 180, 'learning_rate': 0.05, 'max_depth': 2}",20260522,inner_validation_fold_mean_balanced_accuracy,0.760726472526057,12,12,0.23916666666666667,complete,,0.7407730858970821,0.7941021217844185,0.7473042098966703
d3opt_0052_ae9e0f3b67,0.1,surface_surprisal,all_gaze,central_spread,raw,logistic_regression,"{'C': 10.0, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7590880098115379,12,12,0.5108333333333334,complete,,0.7985105001428549,0.755653847290827,0.7230996820009319
d3opt_0053_c603c730a3,0.1,surface_surprisal_syntax,all_gaze,robust_full,log1p_duration,random_forest,"{'n_estimators': 600, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7656509533958937,12,12,0.27166666666666667,complete,,0.7415514167172774,0.8184751605238085,0.736926282946595
d3opt_0054_be5ccbbec5,10.0,surface_surprisal_syntax,all_gaze,robust_full,raw,gradient_boosting,"{'n_estimators': 180, 'learning_rate': 0.05, 'max_depth': 2}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7677625427561204,12,12,0.26416666666666666,complete,,0.7634495219287353,0.7980690537628923,0.741769052576734
d3opt_0055_f928b3668b,0.1,surface,duration_core,robust_full,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7659289847728742,12,12,0.48666666666666664,complete,,0.8025879125246548,0.7607052838954543,0.7344937578985135
d3opt_0056_76e63ddcc9,0.1,surface,all_gaze,central_spread,log1p_duration,logistic_regression,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear', 'class_weight': 'balanced', 'max_iter': 2000}",20260522,inner_validation_fold_mean_balanced_accuracy,0.7661629960310347,12,12,0.5516666666666666,complete,,0.8142957033292725,0.7501004247480992,0.7340928600157326
