iteration,feature_group,model,split_name,roc_auc,status
177,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.30193905817174516,complete
178,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6440443213296398,complete
179,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.34349030470914127,complete
180,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.38227146814404434,complete
181,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3947368421052632,complete
182,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.38781163434903043,complete
183,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4335180055401662,complete
184,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5817174515235457,complete
185,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5609418282548476,complete
186,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.43628808864265933,complete
187,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5844875346260388,complete
188,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6481994459833796,complete
189,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.520775623268698,complete
190,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.53601108033241,complete
191,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.35595567867036015,complete
192,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5013850415512465,complete
193,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.42382271468144045,complete
194,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5554016620498615,complete
195,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6260387811634348,complete
196,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.6509695290858726,complete
197,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5484764542936288,complete
198,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.22853185595567868,complete
199,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.628808864265928,complete
200,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.44321329639889195,complete
201,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5041551246537397,complete
202,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.5429362880886426,complete
203,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.4570637119113573,complete
204,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.29778393351800553,complete
205,D3_dfm_residual_gaze_only,logistic_regression,leave_one_participant_out,0.3698060941828255,complete
